datetime,DOsp_1,error_1,error_2,NH4_1,NO3_1,P,I,D
2019-08-27 19:31:00,0.114,-5.033,-5.1377,5.3909,10.4239,0.1,0.0025,0.1
2019-08-27 19:32:00,0.1527,-4.728,-5.033,5.5137,10.2418,0.1,0.0025,0.1
2019-08-27 19:33:00,0.1354,-4.6043,-4.728,5.5701,10.1743,0.1,0.0025,0.1
2019-08-27 19:34:00,0.1187,-4.5687,-4.6043,5.5875,10.1563,0.1,0.0025,0.1
2019-08-27 19:35:00,0.1147,-4.5145,-4.5687,5.6104,10.1249,0.1,0.0025,0.1
2019-08-27 19:36:00,0.1075,-4.4674,-4.5145,5.6305,10.0979,0.1,0.0025,0.1
2019-08-27 19:37:00,0.0938,-4.4565,-4.4674,5.6364,10.0929,0.1,0.0025,0.1
2019-08-27 19:38:00,0.0886,-4.4217,-4.4565,5.662,10.0836,0.1,0.0025,0.1
2019-08-27 19:39:00,0.0773,-4.4055,-4.4217,5.6775,10.083,0.1,0.0025,0.1
2019-08-27 19:40:00,0.0746,-4.3567,-4.4055,5.7085,10.0652,0.1,0.0025,0.1
2019-08-27 19:41:00,0.0605,-4.3485,-4.3567,5.712,10.0606,0.1,0.0025,0.1
2019-08-27 19:42:00,0.0495,-4.3451,-4.3485,5.7195,10.0646,0.1,0.0025,0.1
2019-08-27 19:43:00,0.02,-4.5639,-4.3451,5.6038,10.1678,0.1,0.0025,0.1
2019-08-27 19:44:00,0.0493,-4.4707,-4.5639,5.6779,10.1486,0.1,0.0025,0.1
2019-08-27 19:45:00,0.051,-4.3612,-4.4707,5.7253,10.0865,0.1,0.0025,0.1
2019-08-27 19:46:00,0.0454,-4.281,-4.3612,5.761,10.042,0.1,0.0025,0.1
2019-08-27 19:47:00,0.0339,-4.2454,-4.281,5.7793,10.0246,0.1,0.0025,0.1
2019-08-27 19:48:00,0.0268,-4.2106,-4.2454,5.8006,10.0112,0.1,0.0025,0.1
2019-08-27 19:49:00,0.02,-4.1892,-4.2106,5.8171,10.0064,0.1,0.0025,0.1
2019-08-27 19:50:00,0.02,-4.1425,-4.1892,5.8416,9.9841,0.1,0.0025,0.1
2019-08-27 19:51:00,0.02,-4.1006,-4.1425,5.8655,9.9661,0.1,0.0025,0.1
2019-08-27 19:52:00,0.02,-4.1154,-4.1006,5.8681,9.9835,0.1,0.0025,0.1
2019-08-27 19:53:00,0.02,-4.0878,-4.1154,5.8867,9.9745,0.1,0.0025,0.1
2019-08-27 19:54:00,0.02,-4.052,-4.0878,5.9004,9.9524,0.1,0.0025,0.1
2019-08-27 19:55:00,0.02,-4.0197,-4.052,5.9107,9.9305,0.1,0.0025,0.1
2019-08-27 19:56:00,0.02,-4.0035,-4.0197,5.9269,9.9304,0.1,0.0025,0.1
2019-08-27 19:57:00,0.02,-4.0027,-4.0035,5.9276,9.9303,0.1,0.0025,0.1
2019-08-27 19:58:00,0.02,-3.9893,-4.0027,5.9405,9.9298,0.1,0.0025,0.1
2019-08-27 19:59:00,0.02,-3.9504,-3.9893,5.9622,9.9126,0.1,0.0025,0.1
2019-08-27 20:00:00,0.02,-3.9348,-3.9504,5.9729,9.9077,0.1,0.0025,0.1
2019-08-27 20:01:00,0.02,-3.9214,-3.9348,5.9861,9.9074,0.1,0.0025,0.1
2019-08-27 20:02:01,0.02,-3.9115,-3.9214,5.9915,9.9031,0.1,0.0025,0.1
2019-08-27 20:03:00,0.02,-3.8813,-3.9115,6.0084,9.8897,0.1,0.0025,0.1
2019-08-27 20:04:00,0.02,-4.5391,-3.8813,5.6812,10.2203,0.1,0.0025,0.1
2019-08-27 20:05:00,0.02,-5.3543,-4.5391,5.3704,10.7247,0.1,0.0025,0.1
2019-08-27 20:06:00,0.0583,-5.5017,-5.3543,5.3408,10.8425,0.1,0.0025,0.1
2019-08-27 20:07:00,0.0551,-5.5226,-5.5017,5.3433,10.8659,0.1,0.0025,0.1
2019-08-27 20:08:00,0.0373,-5.5527,-5.5226,5.3508,10.9035,0.1,0.0025,0.1
2019-08-27 20:09:00,0.0259,-5.5551,-5.5527,5.3618,10.9169,0.1,0.0025,0.1
2019-08-27 20:10:00,0.02,-5.5364,-5.5551,5.3712,10.9076,0.1,0.0025,0.1
2019-08-27 20:11:00,0.02,-5.4968,-5.5364,5.3913,10.8881,0.1,0.0025,0.1
2019-08-27 20:12:00,0.02,-5.4967,-5.4968,5.3958,10.8924,0.1,0.0025,0.1
2019-08-27 20:13:00,0.02,-5.4886,-5.4967,5.4088,10.8974,0.1,0.0025,0.1
