datetime,DOsp_1,Delta DOsp,error_1,error_2,Delta error,NH4,NO3,P,I,D,Cntrb. P,Cntrb. I,Cntrb. D
2019-09-30 23:48:00,0.02,0.0,-7.8793,-7.8676,-0.0117,5.4959,13.3752,0.175,0.00075,0.03,-0.002,-0.0059,-0.001
2019-09-30 23:49:00,0.022,0.002,-7.8426,-7.8793,0.0367,5.5036,13.3461,0.175,0.00075,0.03,0.0064,-0.0059,0.0015
2019-09-30 23:50:00,0.02,-0.002,-7.8624,-7.8426,-0.0198,5.501,13.3634,0.175,0.00075,0.03,-0.0035,-0.0059,-0.0017
2019-09-30 23:51:00,0.02,0.0,-7.9031,-7.8624,-0.0407,5.4895,13.3926,0.175,0.00075,0.03,-0.0071,-0.0059,-0.0006
2019-09-30 23:52:00,0.02,0.0,-7.9031,-7.9031,0.0,5.4895,13.3926,0.175,0.00075,0.03,0.0,-0.0059,0.0012
2019-09-30 23:53:00,0.0266,0.0066,-7.8421,-7.9031,0.061,5.5037,13.3457,0.175,0.00075,0.03,0.0107,-0.0059,0.0018
2019-09-30 23:54:00,0.0304,0.0038,-7.7861,-7.8421,0.056,5.5191,13.3051,0.175,0.00075,0.03,0.0098,-0.0058,-0.0001
2019-09-30 23:55:00,0.0271,-0.0033,-7.7655,-7.7861,0.0206,5.5292,13.2947,0.175,0.00075,0.03,0.0036,-0.0058,-0.0011
2019-09-30 23:56:00,0.0278,0.0007,-7.7308,-7.7655,0.0347,5.547,13.2778,0.175,0.00075,0.03,0.0061,-0.0058,0.0004
2019-09-30 23:57:00,0.0235,-0.0043,-7.7186,-7.7308,0.0122,5.5656,13.2842,0.175,0.00075,0.03,0.0021,-0.0058,-0.0007
2019-09-30 23:58:00,0.0211,-0.0024,-7.7002,-7.7186,0.0184,5.573,13.2732,0.175,0.00075,0.03,0.0032,-0.0058,0.0002
2019-09-30 23:59:00,0.0223,0.0012,-7.6636,-7.7002,0.0366,5.5987,13.2623,0.175,0.00075,0.03,0.0064,-0.0057,0.0005
2019-10-01 00:00:00,0.02,-0.0023,-7.6525,-7.6636,0.0111,5.6162,13.2687,0.175,0.00075,0.03,0.0019,-0.0057,-0.0008
